time,open,high,low,close
1719349620,61860.11,61860.12,61860.11,61860.12
1719349680,61860.11,61862.32,61832,61832.01
1719349740,61832,61838,61825.47,61837.04
1719349800,61837.04,61850,61832,61832.01
1719349860,61832,61842.87,61831.85,61836.11
1719349920,61836.11,61866,61834.93,61865.74
1719349980,61865.73,61865.74,61852,61852.01
1719350040,61852.01,61852.01,61810,61816
1719350100,61815.99,61845,61815.99,61845
1719350160,61845,61845,61844.99,61845
1719350220,61845,61845,61840,61840.01
1719350280,61840.01,61844.88,61840,61844.88
1719350340,61844.88,61864,61844.87,61864
1719350400,61863.99,61879.07,61863.99,61879.07
1719350460,61879.07,61879.07,61879.06,61879.07
1719350520,61879.06,61892.61,61879.06,61892.61
1719350580,61892.6,61900.02,61892.6,61900.02
1719350640,61900.01,61900.02,61898,61898.01
1719350700,61898.01,61898.01,61880,61880.01
1719350760,61880,61880.01,61878,61878.01
1719350820,61878,61878.01,61878,61878.01
1719350880,61878,61896.72,61878,61896.72
1719350940,61896.72,61896.72,61896.71,61896.71
1719351000,61896.72,61898.01,61896.71,61898
1719351060,61898,61930.01,61898,61930.01
1719351120,61930.01,61931.92,61926.54,61926.55
1719351180,61926.55,61926.55,61912.05,61912.06
1719351240,61912.06,61912.06,61904.95,61904.96
1719351300,61904.96,61904.96,61898,61898.01
1719351360,61898.01,61898.01,61898,61898.01
1719351420,61898.01,61898.01,61898,61898.01
1719351480,61898.01,62030,61898.01,62013.19
1719351540,62013.18,62013.19,62000,62000.01
1719351600,62000,62000,61983.88,61983.89
1719351660,61983.89,61983.89,61950,61950.01
1719351720,61950.01,61950.01,61940,61940.01
1719351780,61940.01,61940.01,61910,61910.01
1719351840,61910.01,61922.37,61909.22,61922.37
1719351900,61922.37,61922.37,61922.36,61922.37
1719351960,61922.36,61922.37,61922.36,61922.37
1719352020,61922.36,61922.37,61919.69,61919.7
1719352080,61919.7,61919.7,61900.4,61900.41
1719352140,61900.4,61906.66,61892.58,61906.66
1719352200,61906.66,61906.67,61906.66,61906.67
1719352260,61906.66,61906.67,61904.34,61904.35
1719352320,61904.35,61904.35,61896.18,61898.94
1719352380,61898.93,61898.94,61896.39,61896.39
1719352440,61896.39,61896.39,61895.9,61895.91
